@relation wine_ICA

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class numeric

@data
0.078217,0.003862,-0.102234,-0.028872,0.10739,0
0.041272,0.170604,-0.026199,-0.044104,0.050307,0
-0.063771,-0.007124,0.008775,-0.088407,0.051656,0
-0.045066,-0.014403,0.007327,-0.10315,0.148033,0
0.024261,-0.066547,-0.092612,0.008668,0.012856,0
-0.047654,0.042185,-0.017986,-0.084685,0.131992,0
-0.069024,0.104825,0.013388,-0.081231,0.063496,0
-0.080511,0.017817,-0.105317,-0.026402,0.090756,0
0.02942,0.095969,0.020158,-0.066576,0.052312,0
0.057272,0.013944,0.068128,-0.090356,0.078955,0
-0.142434,0.01252,-0.013797,-0.110164,0.089671,0
-0.108934,0.068255,0.012361,-0.081419,0.045757,0
-0.103513,0.0816,0.05328,-0.103996,0.051724,0
0.046235,0.143958,0.052786,-0.105722,0.065934,0
-0.026359,0.109291,0.043718,-0.117272,0.150772,0
-0.041981,0.002082,-0.006041,-0.055589,0.119615,0
-0.069277,-0.061153,-0.06148,-0.051857,0.100963,0
-0.012911,-0.075566,-0.023058,-0.063176,0.087223,0
-0.095034,-0.002487,0.046307,-0.129717,0.171747,0
0.073562,0.059834,-0.074159,0.021954,0.059734,0
0.163149,-0.019556,-0.088274,-0.0104,0.082794,0
-0.015105,0.032148,-0.031119,0.016739,-0.002926,0
-0.023256,0.050896,-0.036158,-0.074276,0.014708,0
-0.054999,0.040796,-0.009388,-0.07592,-0.003329,0
-0.030873,-0.01545,-0.014029,-0.072537,-0.030746,0
-0.046378,-0.158958,-0.133891,-0.021665,-0.002644,0
-0.068378,0.072526,0.018988,-0.094437,0.033201,0
-0.146705,0.087073,-0.014653,-0.075633,0.021199,0
0.001554,-0.032311,-0.037356,-0.057792,0.018269,0
-0.015434,0.066917,0.008099,-0.068909,0.026894,0
-0.129958,-0.097045,0.016704,-0.126808,0.043394,0
-0.135922,-0.025684,0.0104,-0.110247,0.107355,0
-0.024302,0.042377,-0.048041,-0.047223,0.016546,0
-0.040799,-0.06043,-0.136656,-0.025611,0.105346,0
-0.071356,0.002326,-0.069814,-0.040707,0.032758,0
-0.017042,-0.052384,0.00845,-0.076342,0.010372,0
0.056502,0.055819,-0.055448,-0.016823,0.041204,0
-0.085341,0.042426,-0.017446,-0.06097,0.016172,0
-0.026916,0.092047,-0.029427,-0.056264,0.011613,0
0.138178,0.090043,-0.12858,0.076609,0.08667,0
0.147666,-0.016777,-0.036747,-0.03116,0.074529,0
-0.131524,0.065791,0.010164,-0.024991,-0.009126,0
0.025354,0.055678,0.007239,-0.087126,0.059388,0
0.021998,0.056482,-0.037056,0.039033,-0.00329,0
0.056859,0.007973,-0.026158,-0.052086,0.036288,0
-0.088429,0.023859,-0.058809,0.017672,0.052655,0
-0.030803,0.072595,-0.01888,-0.033562,0.044174,0
0.06059,0.020511,0.029097,-0.080027,0.059795,0
-0.019317,-0.020068,0.018327,-0.061148,0.058121,0
0.01588,-0.035474,0.060001,-0.08221,0.138835,0
0.053346,0.109639,0.085272,-0.092445,0.091423,0
-0.078359,0.034198,0.036963,-0.110864,0.051074,0
0.070306,0.038465,0.003215,-0.081191,0.121281,0
-0.073589,0.015112,-0.045711,-0.05651,0.112345,0
0.036696,0.012349,-0.061303,-0.027076,0.089421,0
-0.026191,-0.080268,-0.037932,-0.058143,0.078203,0
0.090469,-0.007524,-0.040166,-0.032606,0.095096,0
-0.061291,0.033238,0.00788,-0.082477,0.075019,0
-0.007229,-0.005627,0.01031,-0.103304,0.105408,0
0.091614,0.249993,-0.032721,0.042341,-0.054433,1
