@relation wine_RP

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class numeric

@data
-415.721629,805.687185,589.796773,99.099664,95.562468,0
-417.293985,794.997311,582.825242,104.952344,67.463867,0
-475.728717,891.082639,661.912574,119.619922,64.345933,0
-599.36021,1115.201469,825.07941,155.462576,65.689587,0
-276.899051,555.067588,407.089635,56.281465,99.725805,0
-586.836494,1092.920884,807.807976,152.385176,65.81479,0
-521.430547,972.767287,719.633042,135.404738,54.245459,0
-516.881472,977.052468,719.952874,129.293779,81.520194,0
-415.448496,789.668114,581.662657,103.436367,64.236512,0
-415.753744,788.974282,581.817775,103.012059,65.052687,0
-614.13676,1135.783769,843.631389,160.599881,56.565256,0
-517.873582,963.86612,714.453511,133.401123,53.929783,0
-537.099382,993.687075,737.64889,140.408215,46.130614,0
-462.645039,868.415521,641.183982,119.394976,53.952498,0
-631.206031,1166.077236,863.383604,168.732482,51.025647,0
-526.824475,987.686117,729.533869,133.862033,71.218094,0
-511.27662,963.590219,712.803239,126.667637,81.132249,0
-448.327298,850.99173,628.761813,108.408847,81.212951,0
-687.379997,1264.318343,937.943324,182.80556,52.927633,0
-324.075871,640.663715,467.909379,73.657828,92.657909,0
-293.1786,592.333848,429.738147,62.258039,105.017927,0
-295.699845,581.621217,428.908029,66.059345,81.108166,0
-409.977135,781.262606,575.928121,100.24887,69.462255,0
-403.955636,765.095773,565.448998,98.754811,64.130956,0
-329.769783,637.035308,470.612668,75.344298,71.545391,0
-316.497592,624.272779,460.455832,65.285867,103.110456,0
-482.253496,900.391716,666.511466,123.071036,55.223402,0
-520.664095,967.157047,717.267875,134.213624,53.19266,0
-357.169745,690.575238,508.646225,82.1738,80.848448,0
-411.516074,781.260993,576.537955,101.780811,63.770763,0
-519.141377,964.496273,718.459,130.333294,61.022089,0
-616.796121,1138.905592,846.158336,160.867793,57.310697,0
-390.293062,746.64072,550.790808,93.641402,74.642463,0
-488.754346,931.514994,685.130191,118.152104,95.849557,0
-434.317728,824.992112,609.298263,105.248201,77.462107,0
-361.241718,692.798078,512.716143,84.33658,72.831232,0
-341.974317,666.044062,487.272395,78.886068,85.058771,0
-442.455109,832.047628,615.948953,109.684295,64.350495,0
