@relation lr_RP

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute class numeric

@data
6.684897,3.715297,1.18324,5.912379,5.143055,-0.705603,-11.046215,6.319496,3.294896,3.515603,-5.185749,6.809014,-1.588207,-3.050204,-1.070238,5.931858,0
6.998561,5.404666,-2.600352,6.300429,3.336045,-2.41238,-10.273887,2.826709,2.648348,5.085601,-3.676142,5.510942,-0.91002,-1.007205,1.95013,1.847247,1
4.796802,1.389972,0.475627,6.416823,1.135341,-3.918155,-10.287898,2.364824,1.156797,4.266692,-4.645646,4.839047,0.11244,-2.738156,0.810063,0.536223,2
7.638596,5.156945,0.344127,4.61524,2.918815,2.988634,-6.686798,9.029384,2.456279,3.298986,0.803093,8.082217,-4.66553,-4.878899,-0.601252,-2.037867,3
4.909218,7.066089,-0.839161,5.892007,5.60618,-2.66221,-5.842434,5.748435,2.915698,0.492283,-4.948943,5.920743,-2.75741,-0.872794,1.146169,3.268568,4
6.66522,4.599092,0.150431,9.845154,0.16587,1.922411,-9.714997,3.250753,2.842411,8.170336,-5.609406,9.887075,-0.361323,-3.311414,-1.113049,0.480705,5
4.799669,4.393484,0.143464,7.00109,2.431156,-2.643281,-7.939915,5.160245,1.145005,1.060917,-6.387374,6.190352,-1.930447,-0.757853,-0.090833,0.313257,6
2.720651,4.177178,-1.283444,2.818163,5.576116,-6.699262,-5.47293,3.796506,1.227107,-0.167553,-2.775637,1.821483,-1.847979,2.198449,1.08772,2.160798,7
2.891675,5.570713,0.167459,7.095832,6.3355,-8.874633,-8.954564,2.662857,2.331024,2.500573,-4.461736,4.429252,-0.149179,1.286273,0.675628,3.730914,8
1.913189,1.555142,-0.777092,5.054363,1.592295,-4.354676,-7.53985,4.486997,5.347837,2.93662,-1.946966,3.253895,-2.480312,-4.914023,3.071039,-11.886624,9
5.930765,3.218889,0.083816,7.464645,1.606758,-0.186804,-8.648951,5.443149,2.970306,5.642656,-4.625964,7.362418,-1.227956,-2.272506,-0.720242,0.8646,10
8.245336,5.730669,-3.114936,4.824784,2.449074,2.261892,-7.86093,6.202034,3.17109,5.081507,-4.061551,6.155628,-2.432735,-0.834366,0.507424,-1.868576,11
6.945634,4.024643,-1.125483,3.901113,3.250823,0.086809,-6.769919,7.624017,0.766199,3.123111,-5.077939,4.233267,-0.83774,0.561393,-0.425418,-4.041752,4
5.490707,3.28757,-0.477665,6.264069,0.835355,-0.893022,-6.046546,7.46079,0.809824,5.340726,-5.314215,5.831638,-2.279553,-1.215548,-1.564759,-5.855657,9
7.655566,4.255501,1.075239,4.773442,2.679405,1.07351,-8.263485,4.579693,-1.042312,1.76149,-5.07851,5.101925,1.322623,-2.253308,0.564998,-1.72268,12
5.961874,3.417077,-1.220708,6.887208,2.641313,-2.306918,-9.082474,5.989765,3.204797,4.697749,-4.43893,6.328066,-3.153003,-2.29151,0.054792,1.41766,13
5.078574,7.189173,-1.113425,5.481483,5.308267,-2.719284,-7.031361,4.439803,2.346214,2.328844,-4.970449,6.17842,-3.508459,-0.692864,0.549619,0.590953,11
8.556573,9.74616,-1.153465,8.57288,6.045623,1.477338,-7.4615,6.845522,6.446334,5.321677,-3.377574,9.862167,-1.629915,-2.165843,1.153578,1.510909,14
6.816021,6.219141,0.10001,7.627172,2.955388,-1.832107,-11.101159,2.306874,0.946564,8.083735,-5.221628,9.049905,-2.677203,-0.629748,-2.404678,-1.061603,0
3.951018,7.130816,-0.465818,7.057968,7.783588,-8.351955,-8.746089,2.89048,2.869312,3.226774,-4.347493,5.044909,-0.907609,1.630104,0.916284,4.633575,8
4.313016,8.053553,-0.38209,6.470499,8.141585,-7.96289,-8.469716,1.660748,2.073833,3.099614,-5.046355,4.820352,0.378384,1.74226,0.725108,7.140108,8
5.425203,6.103838,-0.391996,5.694469,4.365542,-1.866042,-6.852585,5.043001,2.507575,2.387153,-4.706372,6.372568,-2.970303,-1.319648,0.497027,-0.375294,15
5.107592,6.041726,-1.039872,7.584016,3.127908,-2.409977,-7.212276,5.564343,0.833097,3.388775,-5.935191,6.271964,-1.361402,0.640247,-0.96432,1.072791,5
6.284896,7.163705,-1.445969,6.806443,3.04787,0.319615,-6.925522,4.278124,3.203474,6.916245,-3.678185,7.955163,-2.633269,-1.095566,0.01708,-5.913861,11
6.149544,10.266494,-2.316223,5.444707,9.722619,-4.28831,-6.301126,4.860353,5.885805,3.421258,-4.841585,5.285694,-0.142459,3.44666,1.640696,2.144346,8
8.652761,8.74532,0.330732,8.686144,6.027613,3.503983,-7.408322,8.162646,7.682979,5.985248,-2.646384,11.019692,-2.177071,-3.996778,1.152777,-1.795427,14
6.261199,6.225102,-0.886951,4.848277,2.795187,0.859853,-5.110669,10.014378,4.113442,2.101516,-4.396651,7.031602,-2.821364,-0.34496,-0.994244,-6.515773,9
6.201101,1.844352,-0.302351,4.368003,1.288607,1.624706,-9.56172,12.404423,3.973983,4.304346,-0.9683,8.276517,-9.895131,-5.38128,-2.864043,-10.01202,16
5.448653,4.867942,-0.752953,6.311683,2.473969,-0.717615,-7.331756,6.832182,4.014522,3.375332,-4.233883,7.127823,-3.842895,-2.548898,0.438287,-4.267404,15
6.075075,6.46399,-1.201461,4.775906,4.548003,-0.283453,-6.140293,5.855447,3.000665,2.263119,-3.652578,6.255177,-2.764786,-0.714752,0.456047,0.908059,4
5.150033,6.030266,0.840111,1.421446,2.516866,2.170713,-2.582678,1.863838,-0.215985,-1.865847,1.865126,6.11617,-3.242451,-2.381059,1.61753,0.589909,17
4.982091,6.998036,0.059597,5.056246,6.947515,-3.871136,-5.003951,4.63414,3.515578,0.794843,-2.383506,5.564164,-1.183733,-0.729566,1.645878,6.757655,17
7.632889,9.768811,-0.196857,8.286328,6.400089,1.844659,-6.581076,6.73174,7.509309,7.10837,-4.00957,10.267919,-0.994376,-1.191541,-0.714686,-1.60278,10
6.156864,-0.646782,-0.655243,5.27847,-0.4687,-1.22356,-9.155353,7.311861,0.045675,5.089364,-8.206797,4.531013,-3.167565,-0.555971,-2.037873,-4.464028,6
4.125035,5.175534,-0.837865,4.926273,2.990801,-0.97954,-5.507541,7.655379,5.252605,1.022077,-3.458561,5.514321,-2.031431,-1.298761,0.59885,-4.496773,9
6.162299,7.844522,-0.244734,6.370771,4.281141,-0.759294,-6.417947,5.293694,2.726052,3.453315,-2.547151,8.700771,-3.750615,-2.054841,0.095516,0.083497,4
5.679687,7.588371,-1.047351,5.929792,4.067331,-0.836196,-7.090913,3.886573,2.608226,3.221236,-4.390959,7.327769,-3.240814,-1.82509,0.75122,-1.104795,11
6.017124,8.96886,0.862454,5.419578,4.408461,-2.443316,-9.055238,-0.176867,-3.784145,2.84107,-6.418504,7.001529,0.376005,0.352896,-1.969091,2.210774,18
6.595078,2.380712,-2.08339,2.903097,2.206691,-0.228943,-6.789886,8.261294,2.076729,0.594661,-4.36158,3.163515,-2.602149,-1.141994,1.433027,-1.784697,4
9.219826,11.377091,-0.343027,8.583681,7.85748,1.574227,-5.424406,8.481701,5.216459,4.000433,-2.828034,9.529428,1.242297,1.811271,0.543311,2.804266,19
4.933592,4.080653,1.587378,8.303667,2.067658,-2.951511,-9.904879,4.13165,2.492614,4.888663,-3.024197,8.180912,-0.280345,-3.27491,-0.80526,1.314494,10
6.822656,6.41279,-1.337757,7.334064,3.475226,-0.379801,-7.703055,5.980784,3.793607,3.970053,-5.943779,7.65428,-2.050722,-1.038772,0.363842,2.323116,19
3.577856,5.72412,1.405717,8.327434,3.892493,-6.170788,-8.37639,3.647469,1.814508,3.119252,-3.213865,7.425691,-1.121037,-2.625949,-0.161165,3.402938,10
6.884554,7.010274,-0.421905,7.235986,3.43869,0.119654,-8.405723,5.402924,2.866988,1.398059,-4.490989,7.978972,-1.357252,-0.721973,1.266654,-0.77593,4
6.677929,4.781073,-0.607961,6.243845,2.850902,-0.283438,-10.47575,7.102741,2.809225,4.077543,-4.102207,8.665292,-6.356443,-3.09474,-1.756671,0.032333,20
5.866315,1.569953,0.219573,7.3827,-0.44688,0.821026,-9.082807,4.904483,2.47578,5.273474,-5.005664,7.230502,-1.647628,-3.895438,-0.514795,0.50342,10
6.405447,2.103327,-0.953336,3.67465,1.962214,0.176716,-8.187662,7.061411,1.755934,2.291341,-6.773995,4.014215,-2.562232,-1.050279,-0.092058,-4.193246,16
6.08522,8.298035,-1.080883,5.164121,6.991906,-2.799598,-6.065553,5.199886,2.397163,1.910867,-4.25527,6.201674,-2.891131,-0.35986,0.858341,5.200426,4
5.335076,2.379698,0.276142,6.844629,1.027899,0.174739,-6.454828,8.148668,3.324023,4.391183,-2.882428,6.075346,-1.084829,-2.940783,-0.640777,-4.187655,12
7.761147,7.140106,-1.277957,8.974651,2.794827,1.999439,-7.720114,5.504778,4.757194,6.681975,-4.287201,9.91739,-1.387076,-1.413167,0.146578,1.874096,5
6.272366,2.869894,-1.567178,6.457804,2.66677,-0.947395,-7.900026,6.631351,4.046154,8.473238,-6.897255,6.28,-3.114409,1.191727,-1.525057,-8.064903,21
